year,LandbasedWind,Utility PV,Res PV,Coal-CCS,Nuclear,NaturalGas-CCS,Battery
2018,1845.54888152223,1565.88191115255,3054.31820907486,5930.66453503224,6124.72776400918,2665.87834294951,962.685308179199
2019,1816.40083145597,1375.37767892254,2796.24507120395,5908.50269748427,6093.45997077615,2626.95839960157,910
2020,1785.98128943115,1324.76149289451,2644.27866309624,5886.34085993629,6062.19217754313,2588.03845625364,857.314691820801
2021,1754.29025544777,1274.14530686649,2492.31225498853,5864.17902238831,6030.9243843101,2549.1185129057,804.2075816775
2022,1721.32772950582,1223.52912083847,2340.34584688081,5842.01718484033,5999.65659107708,2510.19856955777,751.100471534198
2023,1687.09371160531,1172.91293481045,2188.3794387731,5819.85534729235,5968.38879784405,2471.27862620983,697.993361390897
2024,1651.58820174623,1122.29674878242,2036.41303066539,5797.69350974437,5937.12100461103,2414.30640586012,644.886251247596
2025,1614.81119992859,1071.6805627544,1884.44662255768,5760.68674168939,5905.853211378,2373.97543066161,591.779141104295
2026,1576.76270615239,1021.06437672638,1732.48021444997,5735.38156122294,5874.58541814498,2345.71439592163,569.75517430274
2027,1537.44272041763,970.448190698357,1580.51380634226,5706.55827874766,5839.70363120086,2316.05551831308,547.731207501185
2028,1496.8512427243,919.832004670335,1428.54739823455,5680.48552130279,5807.62853307858,2293.38552412815,525.70724069963
2029,1454.98827307241,869.215818642312,1276.58099012684,5652.88834300666,5773.98280683857,2275.11916708298,503.683273898075
2030,1411.85381146195,818.59963261429,1124.61458201913,5619.55282358211,5734.47262162429,2253.5735949987,481.659307096519
2031,1400.99292019044,811.327965152605,1111.26670708637,5587.68038765419,5696.45439402837,2233.75382816213,475.638565757813
2032,1390.058296701,804.05629769092,1097.91883215362,5553.93549942655,5656.52852654125,2213.27186513632,469.617824419106
2033,1379.04994099364,796.784630229236,1084.57095722087,5519.35479403144,5615.75536444658,2191.21568608805,463.5970830804
2034,1367.96785306837,789.512962767551,1071.22308228811,5490.71788321048,5581.02765979108,2172.49202165914,457.576341741693
2035,1356.81203292518,782.241295305866,1057.87520735536,5460.4816398659,5544.66770375819,2156.47409004888,451.555600402987
2036,1345.58248056407,774.969627844181,1044.5273324226,5422.65750489986,5500.60605017813,2138.45957551451,445.534859064281
2037,1334.27919598504,767.697960382497,1031.17945748985,5392.76272829712,5464.59109260369,2123.57408083355,439.514117725574
2038,1322.9021791881,760.426292920812,1017.8315825571,5360.81671843419,5426.49291843593,2107.87873092177,433.493376386868
2039,1311.45143017323,753.154625459127,1004.48370762434,5324.70295537466,5384.18046849352,2090.54645705275,427.472635048161
2040,1299.92694894045,745.882957997442,991.135832691587,5287.59010881155,5340.86579180368,2072.82659555428,421.451893709455
2041,1288.32873548974,738.611290535758,977.787957758832,5259.73540251114,5306.90255837616,2058.73617171135,415.431152370748
2042,1276.65678982112,731.339623074073,964.440082826078,5224.63735633362,5265.62987839045,2041.8097839739,409.410411032042
2043,1264.91111193458,724.067955612388,951.092207893324,5193.13568932505,5227.98305450766,2026.28966313389,403.389669693335
2044,1253.09170183012,716.796288150703,937.74433296057,5161.38448343425,5190.08269136256,2010.67066415234,397.368928354629
2045,1241.19855950775,709.524620689019,924.396458027815,5132.51617002806,5155.07784401879,1996.17289441933,391.348187015922
2046,1229.23168496745,702.252953227334,911.048583095061,5094.29554954726,5110.68037867538,1978.03861961337,385.327445677216
2047,1217.19107820924,694.981285765649,897.700708162307,5062.81913190136,5073.05415218555,1962.52540369185,379.306704338509
2048,1205.07673923311,687.709618303965,884.352833229553,5031.12638762501,5035.20948200076,1946.92783838558,373.285962999803
2049,1192.88866803906,680.43795084228,871.004958296798,4999.3232301934,4997.25311454082,1931.28666537199,367.265221661096
2050,1180.62686462709,673.166283380596,857.657083364044,4924.61264322726,4916.45813493375,1899.09777510767,361.24448032239
