year,UtilityPV,ResPV,Nuclear,LandbasedWind,NaturalGas-CCS,Coal-CCS,Battery
2018,0.01876,0.022,0.118988212180747,0.043205384615385,0.026994106090373,0.058241650294696,0.040834783401887
2019,0.01608,0.021,0.118988212180747,0.042850769230769,0.026994106090373,0.058241650294696,0.0386
2020,0.015851846923524,0.019832089973222,0.118988212180747,0.042496153846154,0.026994106090373,0.058241650294696,0.036365216598113
2021,0.015246183159086,0.018692341912414,0.118988212180747,0.042141538461539,0.026994106090373,0.058241650294696,0.03411254137665
2022,0.014640519394648,0.017552593851606,0.118988212180747,0.041786923076923,0.026994106090373,0.058241650294696,0.031859866155187
2023,0.014034855630211,0.016412845790798,0.118988212180747,0.041432307692308,0.026994106090373,0.058241650294696,0.029607190933724
2024,0.013429191865773,0.015273097729991,0.118988212180747,0.041077692307692,0.026994106090373,0.058241650294696,0.027354515712261
2025,0.012823528101335,0.014133349669183,0.118988212180747,0.040723076923077,0.026994106090373,0.058241650294696,0.025101840490798
2026,0.012217864336897,0.012993601608375,0.118988212180747,0.040368461538462,0.026994106090373,0.058241650294696,0.024167637063831
2027,0.011612200572459,0.011853853547567,0.118988212180747,0.040013846153846,0.026994106090373,0.058241650294696,0.023233433636864
2028,0.011006536808021,0.010714105486759,0.118988212180747,0.039659230769231,0.026994106090373,0.058241650294696,0.022299230209896
2029,0.010400873043583,0.009574357425951,0.118988212180747,0.039304615384615,0.026994106090373,0.058241650294696,0.021365026782929
2030,0.009795209279145,0.008434609365143,0.118988212180747,0.03895,0.026994106090373,0.058241650294696,0.020430823355962
2031,0.009708197873621,0.008334500303148,0.118988212180747,0.038657875,0.026994106090373,0.058241650294696,0.020175438064013
2032,0.009621186468096,0.008234391241152,0.118988212180747,0.03836575,0.026994106090373,0.058241650294696,0.019920052772063
2033,0.009534175062572,0.008134282179157,0.118988212180747,0.038073625,0.026994106090373,0.058241650294696,0.019664667480114
2034,0.009447163657048,0.008034173117161,0.118988212180747,0.0377815,0.026994106090373,0.058241650294696,0.019409282188164
2035,0.009360152251523,0.007934064055165,0.118988212180747,0.037489375,0.026994106090373,0.058241650294696,0.019153896896215
2036,0.009273140845999,0.00783395499317,0.118988212180747,0.03719725,0.026994106090373,0.058241650294696,0.018898511604265
2037,0.009186129440474,0.007733845931174,0.118988212180747,0.036905125,0.026994106090373,0.058241650294696,0.018643126312316
2038,0.00909911803495,0.007633736869178,0.118988212180747,0.036613,0.026994106090373,0.058241650294696,0.018387741020366
2039,0.009012106629425,0.007533627807183,0.118988212180747,0.036320875,0.026994106090373,0.058241650294696,0.018132355728417
2040,0.008925095223901,0.007433518745187,0.118988212180747,0.03602875,0.026994106090373,0.058241650294696,0.017876970436467
2041,0.008838083818377,0.007333409683191,0.118988212180747,0.035736625,0.026994106090373,0.058241650294696,0.017621585144518
2042,0.008751072412852,0.007233300621196,0.118988212180747,0.0354445,0.026994106090373,0.058241650294696,0.017366199852568
2043,0.008664061007328,0.0071331915592,0.118988212180747,0.035152375,0.026994106090373,0.058241650294696,0.017110814560618
2044,0.008577049601803,0.007033082497204,0.118988212180747,0.03486025,0.026994106090373,0.058241650294696,0.016855429268669
2045,0.008490038196279,0.006932973435209,0.118988212180747,0.034568125,0.026994106090373,0.058241650294696,0.016600043976719
2046,0.008403026790754,0.006832864373213,0.118988212180747,0.034276,0.026994106090373,0.058241650294696,0.01634465868477
2047,0.00831601538523,0.006732755311217,0.118988212180747,0.033983875,0.026994106090373,0.058241650294696,0.01608927339282
2048,0.008229003979706,0.006632646249222,0.118988212180747,0.03369175,0.026994106090373,0.058241650294696,0.015833888100871
2049,0.008141992574181,0.006532537187226,0.118988212180747,0.033399625,0.026994106090373,0.058241650294696,0.015578502808921
2050,0.008054981168657,0.00643242812523,0.118988212180747,0.0331075,0.026994106090373,0.058241650294696,0.015323117516972
